suburb,incident_date,injuries,offender,victim,
Corio,1/3/13,death,Mastif,Wallaby,
Grovedale,13/3/13,Death,,Cat,
Geelong West,18/3/13,Broken Skin,STAX,Person,
Waurn Ponds,13/3/13,Death,LAB,Rooster,
Geelong  ,8/3/13,,DOB,Dog,
Grovedale,28/3/13,,,Rabit,
Corio,3/3/13,,,,
Grovedale,5/3/13,,BUTX,Dog,
Lara,19/3/13,Severe Tearing,HEE,Person,
Highton,6/3/13,Puncture wounds,GSH,Person,
Norlane,0203-04-03,,STA,Person,
Corio,7/3/13,Broken Skin,Keehound,Person,
Lara,28/2/13,,Pitbull,Person,
Bell Post Hill,,,Terrier,Person,
Newtown,8/4/13,,Dalmation,Dog,
Wallington,,broken Skin,,Dog,
Balliang,20/11/12,,,Dog,
Ocean grove ,,,Staffy,Dog,
Ocean grove ,17/4/13,Severe Tearomg,Staffy,Dog,
Whittington,1/4/13,Puncture Wound,,Person,
Fyansford,2/4/13,Broken Skin,Rhodesian Ridgback,Dog,
Norlane,,,Pitbuls,Person,
Ocean grove ,3/4/13,,Border Collie,Dog,
Norlane,4/4/13,Broken Skin,Rotweiler,person,
Newtown,8/4/13,Severe Tearing,Dalmation,Dog,
Thompson,24/5/13,stitches,GSH,dog,
Anakie,22/5/13,Death,Unknown,Lamb,
Highton,18/5/13,stitches,Bulldog,dog,
Grovedale,,death,Unknown,Rabbits,
Waurn Ponds,15/5/13,Death,STA,Cat,
Belmont,15/5/13,Bruising,Weimaraner,Person,
Leopold,14/5/13,,Maltese,Person,
Marshall,10/5/13,Broken Skin,,Dog,
Hamlyn Heights,,,Staffie,Dog,
Corio,20/5/13,Wound,Am Staf,dog,
Corio,20/5/13,Severe Tearing,Am Staf,Dogperson,
Lara,12/5/13,Stitches,STABUT,Dog,
Moorabool,10/5/13,Death,GSH,Sheep,
Norlane,,Death/Bite,Staffie,Cat/Human,
Lara,,Death,STA & JAC,Chickens,
Belmont,23/5/13,Broken Skin,ROT & KEL,,
Corio,14/5/13,Severe Tearing,STA,Cat,
Corio,12/5/13,,BUM,Dog,
Waurn Ponda,2/5/13,Broken Skin,STABUT,Dog,
Belmont,1/5/13,Broken Skin,SAF,Person,
Clifton Springs,9/6/13,Torn Clothes,BOC,Person,
Norlane ,14/6/13,,STAXJACX,Norlane,
Geelong West,21/6/13,PunctureWound,,Person,
Grovedale,25/6/13,PunctureWound,KELSTAKELCOL,Dog,
Newcomb,10/6/13,,,Dog,
Newcomb,12/6/13,No injury,BUM,Dog,
Little River,13/6/13,,,Sheep,
Whittington,21/6/13,Bite,,Person,
Breakwater,5/6/13,Bite,STAPIT,Person,
Whittington,28/6/13,Bite,BOCGOL,Dog,
Ocean Govr,28/6/13,,,Dog,
Whittington,30/6/13,wound,,Person,
Lara,2/7/13,Death,,Chicken,
St Albans Park,4/7/13,Death,,Cat,
Ocean Grove,8/7/13,Puncture Wound,,Person,
Barwon Heads,12/7/13,Broken Skin,BHE,Dog,
Bell Park,31/7/13,Death,MAL x 2 ,Chicken,
Geelong West,30/8/13,Bite,unknown,Person,
Grovedale,1/8/13,Bruised,Blue Heeler,Person,
Geelong  ,14/8/13,,,Person,
Corio,23/8/13,,,Dog,
Hamlyn Heights,20/8/13,Broken Skin,LAB,Dog,
Clifton Springs,20/8/13,Puncture Wound,Boxer/Staffy,Person,
Highton,20/8/13,,Kelpie,Dog,
Drysdale,21/8/13,Death,Pitbulls,Calves,
Grovedale,23/8/13,Bite,Blue Heeler,Person,
Corio,,,Staffy,,
Clifton Springs,19/8/13,Broken Skin,Mareema Sheepdog,Person,
Barwon Heads,29/8/13,death,Border Collie,Lambs,
Drysdale,21/8/13,Death,,Chickens,
Norlane,28/8/13,Death,,Dog,
Ocean Grove,3/1/12,u/k,u/k,Dog,
Ocean Grove,1/1/12,Person -                                                                                                                                                                                                                                              minor.                                                                                                                                                                                                                                                                   Chickens -                                                                                                                                                                                                                                                    dead,Huskies,Person &                                                                                                                                                                                                                                    Chickens,
Lovely Banks,4/1/12,Dead,German                                                                                                                                                                                                                          Shepherds,Dog,
Manifold Heights,5/1/12,Puncture wound,Heeler/Cross,Person,
Curlewis,8/1/12,Death,Red Heeler,Sheep,
Moolap,9/1/12,Dead,Malamute,Chicken,
Highton,11/1/12,u/k,Rottweiler,Dog,
Barwon Heads,14/1/12,Surgery ,Blue Heeler,Person  ,
Thomson,19/1/12,Bruising,Staffy,Dog,
Leopold,19/1/12,Puncture wound,u/k,Dog,
Corio,25/1/12,Puncture wound,Boxers,Person,
Newcomb,26/1/12,u/k,German Shepherds (Guard Dogs),Cat,
Point Cook,25/12/11,Surgery ,Pomeranian,Person,
North Geelong,21/1/12,Puncture wound,Red Heeler,Person,
Waurn Ponds,25/1/12,Puncture wound,Staffy,Dog,
Ocean Grove,1/1/12,Dead,Huskys,Chooks,
Lovely Banks,4/1/12,Dead,German sheperd,Dog,
Curlewis,8/1/12,dead,Heeler/Cross,Sheep,
Newcomb,9/1/12,dead,Malamute,Chooks,
Moolap,26/1/12,Dead,German Shep,Cat,
Barwon Heads,14/1/12,Surgery ,Blue Heeler,Person,
U/K,12/1/12,bite,Rottweiler,Dog,
Leopold,19/1/12,Bite Wound,Boxer x,dog,
Bell Post Hill,6/1/12,Bite,U/K,Person,
corio,25/1/12,Bite,U/K,Person,
Lara,1/2/12,Bruising,pitbull X bull mastif,Person,
Corio,1/2/12,Puncture wound ,u/k,Person,
Lara,2/2/12,Puncture wound ,bull mastiffs,Person,
Corio,4/2/12,Nil,Bull MastiffX,Person,
Highton,6/2/12,Internal bleeding,u/k,Dog,
Lara,6/2/12,1 x lost ear.                                                                                                                                                                                                                                              1 x mauled,Whippet X Woulfhound,2 x Sheep,
Newtown,7/2/12,Puncture wound (minor),Staffy,Dog,
Norlane,5/2/12,Deceased,GSH,Cat,
Hamlyn Heights,19/2/12,Cat attacked,Greyhound,Cat,
Highton,25/2/12,Broken skin,Maltese x2,Person,
Hamlyn Heights,13/3/12,u/k,?,Dog,
Grovedale,16/3/12,Euthanased,Staffy's,Dog,
Drysdale,12/3/12,Bite Wound,Lab x,Dog,
Newcomb,19/3/12,Severe Tearing,stffy or pitbull,Dog,
U/K,2/4/12,U/K,Greyhound,Dog,
Corio,3/4/12,Puncture Wounds,Staffyx,Dog,
Avalon,10/4/12,Bite Wound,Staffy Shipperke,Sheep,
Grovedale,8/4/12,Bite Wound,U/K,Person,
Lara,11/4/12,mauled,Rhodesian Ridgeback & ?,Sheep,
Grovedale,12/4/12,Torn pants,Pugx,Person,
Lara,6/2/12,Mauled,?,Sheep,
Highton,6/2/12,Minor bite,?,Dog,
U/K,10/2/12,Taken to vet,U/K,Dog,
Hamlyn Heights,23/2/12,Taken to vet,U/K,Cat,
Norlane,5/2/12,Dead,GSP,Cat,
Newtown,7/2/12,Minor bite,staffy,Dog,
Belmont,29/2/12,minor bite,German Shep,Dog,
Lara,1/2/12,Bruise on leg,Pitbullx,Person,
Lara,6/2/12,bite in hand,Mastiff x,person,
Corio,1/2/12,bite on arm,rotti,person,
Corio,6/2/12,minor bite,Mastiff x,person,
Lara,20/2/12,bite on ankle,Kelpie,person,
Lara,22/2/12,minor bite,German shep,Dog,
,,,,,
whittington,13/3/12,bite wounds,Staffys,Cat,
Hamlyn Heights,13/3/12,Taken to vet,U/K,Dog,
Grovedale ,16/3/12,Deceased,Staffys,Dog,
Drysdale,16/3/12,Taken to vet,U/K,Dog,
Newcomb,20/3/12,Taken to vet,pitbull,Dog,
Belmont,19/3/12,Taken to vet,Staffy x,Dog,
Corio,27/3/12,Taken to vet,Rotti's,Dog,
Waurn Ponds,26/3/12,Taken to vet,U/K,Dog,
Portarlington,5/3/12,Pants torn,U/K,Person,
whittington,13/3/12,taken to vet,staffy x,cat,
corio,3/4/12,Bite,Staffyx,Dog,
U/K,4/4/12,Dead,Husky,Chooks,
Lara,11/4/12,Dead,Ridgebackx,Sheep,
Lovely Banks,12/4/12,Dead,Rotti,Sheep,
Norlane,15/4/12,Dead,Staffy's,Cat,
Mt Duneed,16/4/12,Dead,Terrier & hound x,Chooks ,
Breakwater,16/4/12,Dead,U/K,Rabbit,
Lara,30/4/12,Dead,malamute,Chooks,
Barwon Heads,18/4/12,Bite requiring hospital visit ,weimeraner,Child,
